timestamp,consumption_kwh,temperature_c,humidity_pct,hour_of_day,day_of_week,is_weekend,is_holiday,month
2021-01-01 00:00:00,118.89,4.3,46.6,0,4,0,1,1
2021-01-01 01:00:00,105.05,6.0,46.9,1,4,0,1,1
2021-01-01 02:00:00,118.01,5.3,46.2,2,4,0,1,1
2021-01-01 03:00:00,132.52,4.8,48.7,3,4,0,1,1
2021-01-01 04:00:00,116.13,5.9,48.1,4,4,0,1,1
2021-01-01 05:00:00,143.94,2.6,48.7,5,4,0,1,1
2021-01-01 06:00:00,151.29,4.7,47.0,6,4,0,1,1
2021-01-01 07:00:00,173.43,1.7,45.9,7,4,0,1,1
2021-01-01 08:00:00,194.37,6.4,46.3,8,4,0,1,1
2021-01-01 09:00:00,188.87,5.1,51.4,9,4,0,1,1
2021-01-01 10:00:00,164.4,5.7,39.9,10,4,0,1,1
2021-01-01 11:00:00,177.32,3.4,42.9,11,4,0,1,1
2021-01-01 12:00:00,154.66,5.9,41.4,12,4,0,1,1
2021-01-01 13:00:00,129.0,2.6,47.1,13,4,0,1,1
2021-01-01 14:00:00,134.29,4.8,51.6,14,4,0,1,1
2021-01-01 15:00:00,139.21,5.3,50.7,15,4,0,1,1
2021-01-01 16:00:00,147.94,3.4,43.9,16,4,0,1,1
2021-01-01 17:00:00,204.04,5.6,46.2,17,4,0,1,1
2021-01-01 18:00:00,215.94,3.0,42.0,18,4,0,1,1
2021-01-01 19:00:00,228.36,7.5,50.0,19,4,0,1,1
2021-01-01 20:00:00,194.02,7.5,47.0,20,4,0,1,1
2021-01-01 21:00:00,166.22,3.5,52.3,21,4,0,1,1
2021-01-01 22:00:00,149.31,4.7,48.8,22,4,0,1,1
2021-01-01 23:00:00,156.75,6.1,50.4,23,4,0,1,1
2021-01-02 00:00:00,64.39,5.8,44.5,0,5,1,1,1
2021-01-02 01:00:00,64.36,2.9,52.3,1,5,1,1,1
2021-01-02 02:00:00,62.94,4.5,51.2,2,5,1,1,1
2021-01-02 03:00:00,60.06,4.0,38.3,3,5,1,1,1
2021-01-02 04:00:00,85.45,3.5,49.6,4,5,1,1,1
2021-01-02 05:00:00,82.51,4.6,48.8,5,5,1,1,1
2021-01-02 06:00:00,98.71,6.8,52.0,6,5,1,1,1
2021-01-02 07:00:00,122.33,2.6,52.0,7,5,1,1,1
2021-01-02 08:00:00,160.13,7.1,47.4,8,5,1,1,1
2021-01-02 09:00:00,151.15,3.9,55.5,9,5,1,1,1
2021-01-02 10:00:00,139.09,3.6,41.9,10,5,1,1,1
2021-01-02 11:00:00,125.44,7.5,51.6,11,5,1,1,1
2021-01-02 12:00:00,101.75,-0.1,51.1,12,5,1,1,1
2021-01-02 13:00:00,81.91,3.5,44.4,13,5,1,1,1
2021-01-02 14:00:00,73.63,8.1,42.2,14,5,1,1,1
2021-01-02 15:00:00,80.78,7.3,45.3,15,5,1,1,1
2021-01-02 16:00:00,104.84,4.8,41.3,16,5,1,1,1
2021-01-02 17:00:00,130.71,2.2,51.9,17,5,1,1,1
2021-01-02 18:00:00,171.91,9.2,48.9,18,5,1,1,1
2021-01-02 19:00:00,173.23,2.0,46.9,19,5,1,1,1
2021-01-02 20:00:00,168.16,8.1,39.1,20,5,1,1,1
2021-01-02 21:00:00,137.78,5.8,55.2,21,5,1,1,1
2021-01-02 22:00:00,89.98,4.7,44.9,22,5,1,1,1
2021-01-02 23:00:00,103.74,5.0,46.5,23,5,1,1,1
2021-01-03 00:00:00,94.31,3.4,49.1,0,6,1,0,1
2021-01-03 01:00:00,118.27,3.8,48.8,1,6,1,0,1
2021-01-03 02:00:00,99.0,7.5,47.3,2,6,1,0,1
